team_season,severity,rule,detail
2009_ARI,WARN,inflated_qb,Kurt Warner QB 90 is 90+ with status=generated_high_confidence (no manual override)
2009_DAL,WARN,inflated_qb,Tony Romo QB 93 is 90+ with status=generated_high_confidence (no manual override)
2009_GB,WARN,inflated_qb,Aaron Rodgers QB 97 is 90+ with status=generated_high_confidence (no manual override)
2009_HOU,WARN,inflated_qb,Matt Schaub QB 95 is 90+ with status=generated_high_confidence (no manual override)
2009_IND,WARN,inflated_qb,Peyton Manning QB 96 is 90+ with status=generated_high_confidence (no manual override)
2009_LAC,WARN,inflated_qb,Philip Rivers QB 95 is 90+ with status=generated_high_confidence (no manual override)
2009_MIN,WARN,inflated_qb,Brett Favre QB 97 is 90+ with status=generated_high_confidence (no manual override)
2009_NE,WARN,inflated_qb,Tom Brady QB 93 is 90+ with status=generated_high_confidence (no manual override)
2009_NO,WARN,inflated_qb,Drew Brees QB 99 is 90+ with status=generated_high_confidence (no manual override)
2009_NYG,WARN,inflated_qb,Eli Manning QB 91 is 90+ with status=generated_high_confidence (no manual override)
2009_PIT,WARN,inflated_qb,Ben Roethlisberger QB 93 is 90+ with status=generated_high_confidence (no manual override)
2010_ATL,WARN,inflated_qb,Matt Ryan QB 90 is 90+ with status=generated_high_confidence (no manual override)
2010_BAL,WARN,inflated_qb,Joe Flacco QB 90 is 90+ with status=generated_high_confidence (no manual override)
2010_GB,WARN,inflated_qb,Aaron Rodgers QB 95 is 90+ with status=generated_high_confidence (no manual override)
2010_HOU,WARN,inflated_qb,Matt Schaub QB 92 is 90+ with status=generated_high_confidence (no manual override)
2010_IND,WARN,inflated_qb,Peyton Manning QB 94 is 90+ with status=generated_high_confidence (no manual override)
2010_LAC,WARN,inflated_qb,Philip Rivers QB 97 is 90+ with status=generated_high_confidence (no manual override)
2010_NE,WARN,inflated_qb,Tom Brady QB 98 is 90+ with status=generated_high_confidence (no manual override)
2010_NO,WARN,inflated_qb,Drew Brees QB 92 is 90+ with status=generated_high_confidence (no manual override)
2010_TB,WARN,inflated_qb,Josh Freeman QB 91 is 90+ with status=generated_high_confidence (no manual override)
