player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0004541,,Donald Driver,WR,WR,,GB,2010,21,POST,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,28,0,0,0,26,2,1,2.36489224224351,0,1.07692307692308,0.0512820512820513,0.0663265306122449,0.123351648351648,0,2.8,4.8
00-0005091,,Kevin Faulk,RB,RB,,NE,2010,1,REG,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,23,0,0,0,1,0.792119997611735,0,4,6,47,0,0,0,32,26,2,0.776524622557268,0,1.46875,0.171428571428571,0.124513618677043,0.344302390216787,0,7,11
00-0005091,,Kevin Faulk,RB,RB,,NE,2010,2,REG,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,5,22,0,0,0,0,-0.328165153507143,0,2,4,15,0,0,0,14,8,0,-0.964973738882691,0,1.07142857142857,0.114285714285714,0.0385674931129477,0.198425816607635,0,3.7,5.7
00-0005106,,Brett Favre,QB,QB,,MIN,2010,1,REG,NO,15,27,171,1,1,1,9,0,0,280,64,7,-4.6807123516379,0,0.610714285714286,-0.00602193138419695,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,8.84,8.84
00-0005106,,Brett Favre,QB,QB,,MIN,2010,2,REG,MIA,22,36,225,0,3,3,17,1,1,323,90,11,-14.4547096498481,0,0.696594427244582,0.023414771841537,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1,1
00-0005106,,Brett Favre,QB,QB,,MIN,2010,3,REG,DET,23,34,201,1,2,2,16,0,0,216,83,11,-9.5617450826097,0,0.930555555555556,0.0419352577694973,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.84,7.84
00-0005106,,Brett Favre,QB,QB,,MIN,2010,5,REG,NYJ,14,34,264,3,1,4,24,1,0,508,94,12,6.71922296169214,0,0.519685039370079,-0.0366834943403278,4,1,0,2,2,0,-10.3777431483031,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,16.66,16.66
00-0005106,,Brett Favre,QB,QB,,MIN,2010,6,REG,DAL,14,19,118,1,0,3,25,0,0,138,49,5,-2.33673797753474,0,0.855072463768116,0.0651811262135141,1,0,0,1,1,0,-5.45930411713198,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6.72,6.72
00-0005106,,Brett Favre,QB,QB,,MIN,2010,7,REG,GB,16,29,212,1,3,1,6,0,0,253,112,9,-7.62227604573583,0,0.837944664031621,0.0189657417342519,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6.48,6.48
00-0005106,,Brett Favre,QB,QB,,MIN,2010,8,REG,NE,22,32,259,0,1,0,0,0,0,226,137,10,2.81421064027969,0,1.14601769911504,0.201525196906541,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,8.36,8.36
00-0005106,,Brett Favre,QB,QB,,MIN,2010,9,REG,ARI,36,47,446,2,2,3,19,0,0,361,255,22,12.7469375723158,0,1.23545706371191,0.200967328211145,2,1,0,0,0,0,-0.119481603440363,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,21.94,21.94
00-0005106,,Brett Favre,QB,QB,,MIN,2010,10,REG,CHI,18,31,170,1,3,1,0,1,1,164,91,6,-11.2871662160014,0,1.03658536585366,-0.0177559341663573,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,2.7,2.7
00-0005106,,Brett Favre,QB,QB,,MIN,2010,11,REG,GB,17,38,208,0,1,1,1,0,0,378,108,10,-12.8031140787637,0,0.55026455026455,-0.0520460264528552,1,0,0,0,0,0,-2.09042002609931,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6.32,6.32
